Epoch 0000, AveLoss: nan, BestValMRR 0.5055, BestTestMRR: 0.4917, test_hit@1: 0.4472, test_hit@3: 0.5121, test_hit@10: 0.5741, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0001, AveLoss: nan, BestValMRR 0.5549, BestTestMRR: 0.5349, test_hit@1: 0.4881, test_hit@3: 0.5574, test_hit@10: 0.6216, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0002, AveLoss: nan, BestValMRR 0.5827, BestTestMRR: 0.5683, test_hit@1: 0.5203, test_hit@3: 0.5924, test_hit@10: 0.6583, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0003, AveLoss: nan, BestValMRR 0.5965, BestTestMRR: 0.5820, test_hit@1: 0.5332, test_hit@3: 0.6050, test_hit@10: 0.6716, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0004, AveLoss: nan, BestValMRR 0.5999, BestTestMRR: 0.5895, test_hit@1: 0.5394, test_hit@3: 0.6140, test_hit@10: 0.6836, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0005, AveLoss: nan, BestValMRR 0.6088, BestTestMRR: 0.5962, test_hit@1: 0.5446, test_hit@3: 0.6230, test_hit@10: 0.6905, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0006, AveLoss: nan, BestValMRR 0.6182, BestTestMRR: 0.6081, test_hit@1: 0.5569, test_hit@3: 0.6344, test_hit@10: 0.7015, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0007, AveLoss: nan, BestValMRR 0.6187, BestTestMRR: 0.6116, test_hit@1: 0.5604, test_hit@3: 0.6398, test_hit@10: 0.7046, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0008, AveLoss: nan, BestValMRR 0.6227, BestTestMRR: 0.6096, test_hit@1: 0.5581, test_hit@3: 0.6337, test_hit@10: 0.7082, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0009, AveLoss: nan, BestValMRR 0.6227, BestTestMRR: 0.6096, test_hit@1: 0.5581, test_hit@3: 0.6337, test_hit@10: 0.7082, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0010, AveLoss: nan, BestValMRR 0.6258, BestTestMRR: 0.6152, test_hit@1: 0.5623, test_hit@3: 0.6415, test_hit@10: 0.7139, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
