Epoch 0000, AveLoss: nan, BestValMRR 0.5084, BestTestMRR: 0.4957, test_hit@1: 0.4513, test_hit@3: 0.5159, test_hit@10: 0.5801, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0001, AveLoss: nan, BestValMRR 0.5552, BestTestMRR: 0.5371, test_hit@1: 0.4898, test_hit@3: 0.5588, test_hit@10: 0.6260, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0002, AveLoss: nan, BestValMRR 0.5864, BestTestMRR: 0.5728, test_hit@1: 0.5241, test_hit@3: 0.5974, test_hit@10: 0.6623, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0003, AveLoss: nan, BestValMRR 0.5997, BestTestMRR: 0.5861, test_hit@1: 0.5373, test_hit@3: 0.6084, test_hit@10: 0.6774, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0004, AveLoss: nan, BestValMRR 0.6004, BestTestMRR: 0.5898, test_hit@1: 0.5389, test_hit@3: 0.6142, test_hit@10: 0.6855, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0005, AveLoss: nan, BestValMRR 0.6111, BestTestMRR: 0.5977, test_hit@1: 0.5467, test_hit@3: 0.6205, test_hit@10: 0.6946, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0006, AveLoss: nan, BestValMRR 0.6224, BestTestMRR: 0.6103, test_hit@1: 0.5581, test_hit@3: 0.6375, test_hit@10: 0.7062, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0007, AveLoss: nan, BestValMRR 0.6225, BestTestMRR: 0.6144, test_hit@1: 0.5637, test_hit@3: 0.6406, test_hit@10: 0.7088, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0008, AveLoss: nan, BestValMRR 0.6249, BestTestMRR: 0.6126, test_hit@1: 0.5599, test_hit@3: 0.6361, test_hit@10: 0.7147, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0009, AveLoss: nan, BestValMRR 0.6249, BestTestMRR: 0.6126, test_hit@1: 0.5599, test_hit@3: 0.6361, test_hit@10: 0.7147, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0010, AveLoss: nan, BestValMRR 0.6276, BestTestMRR: 0.6150, test_hit@1: 0.5604, test_hit@3: 0.6422, test_hit@10: 0.7160, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0011, AveLoss: nan, BestValMRR 0.6288, BestTestMRR: 0.6214, test_hit@1: 0.5686, test_hit@3: 0.6479, test_hit@10: 0.7220, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0012, AveLoss: nan, BestValMRR 0.6331, BestTestMRR: 0.6217, test_hit@1: 0.5684, test_hit@3: 0.6475, test_hit@10: 0.7223, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0013, AveLoss: nan, BestValMRR 0.6379, BestTestMRR: 0.6261, test_hit@1: 0.5741, test_hit@3: 0.6500, test_hit@10: 0.7241, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0014, AveLoss: 1.6898, BestValMRR 0.6379, BestTestMRR: 0.6261, test_hit@1: 0.5741, test_hit@3: 0.6500, test_hit@10: 0.7241, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0015, AveLoss: nan, BestValMRR 0.6379, BestTestMRR: 0.6261, test_hit@1: 0.5741, test_hit@3: 0.6500, test_hit@10: 0.7241, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
