Epoch 0000, AveLoss: nan, BestValMRR 0.4977, BestTestMRR: 0.4856, test_hit@1: 0.4401, test_hit@3: 0.5048, test_hit@10: 0.5728, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0001, AveLoss: nan, BestValMRR 0.5379, BestTestMRR: 0.5210, test_hit@1: 0.4730, test_hit@3: 0.5435, test_hit@10: 0.6128, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0002, AveLoss: nan, BestValMRR 0.5720, BestTestMRR: 0.5567, test_hit@1: 0.5063, test_hit@3: 0.5834, test_hit@10: 0.6482, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0003, AveLoss: nan, BestValMRR 0.5823, BestTestMRR: 0.5675, test_hit@1: 0.5163, test_hit@3: 0.5902, test_hit@10: 0.6644, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0004, AveLoss: nan, BestValMRR 0.5863, BestTestMRR: 0.5762, test_hit@1: 0.5220, test_hit@3: 0.6028, test_hit@10: 0.6768, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0005, AveLoss: nan, BestValMRR 0.6010, BestTestMRR: 0.5863, test_hit@1: 0.5317, test_hit@3: 0.6129, test_hit@10: 0.6889, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0006, AveLoss: nan, BestValMRR 0.6119, BestTestMRR: 0.5989, test_hit@1: 0.5459, test_hit@3: 0.6264, test_hit@10: 0.6976, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0007, AveLoss: nan, BestValMRR 0.6119, BestTestMRR: 0.5989, test_hit@1: 0.5459, test_hit@3: 0.6264, test_hit@10: 0.6976, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0008, AveLoss: nan, BestValMRR 0.6129, BestTestMRR: 0.6011, test_hit@1: 0.5482, test_hit@3: 0.6244, test_hit@10: 0.7027, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0009, AveLoss: nan, BestValMRR 0.6142, BestTestMRR: 0.6079, test_hit@1: 0.5539, test_hit@3: 0.6360, test_hit@10: 0.7077, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0010, AveLoss: nan, BestValMRR 0.6214, BestTestMRR: 0.6094, test_hit@1: 0.5543, test_hit@3: 0.6365, test_hit@10: 0.7156, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0011, AveLoss: nan, BestValMRR 0.6244, BestTestMRR: 0.6159, test_hit@1: 0.5623, test_hit@3: 0.6403, test_hit@10: 0.7189, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0012, AveLoss: nan, BestValMRR 0.6272, BestTestMRR: 0.6144, test_hit@1: 0.5599, test_hit@3: 0.6418, test_hit@10: 0.7160, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0013, AveLoss: nan, BestValMRR 0.6275, BestTestMRR: 0.6160, test_hit@1: 0.5602, test_hit@3: 0.6437, test_hit@10: 0.7200, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0014, AveLoss: 1.7668, BestValMRR 0.6289, BestTestMRR: 0.6199, test_hit@1: 0.5660, test_hit@3: 0.6450, test_hit@10: 0.7240, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0015, AveLoss: nan, BestValMRR 0.6289, BestTestMRR: 0.6199, test_hit@1: 0.5660, test_hit@3: 0.6450, test_hit@10: 0.7240, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0016, AveLoss: nan, BestValMRR 0.6289, BestTestMRR: 0.6199, test_hit@1: 0.5660, test_hit@3: 0.6450, test_hit@10: 0.7240, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0017, AveLoss: nan, BestValMRR 0.6394, BestTestMRR: 0.6203, test_hit@1: 0.5646, test_hit@3: 0.6485, test_hit@10: 0.7229, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0018, AveLoss: nan, BestValMRR 0.6394, BestTestMRR: 0.6203, test_hit@1: 0.5646, test_hit@3: 0.6485, test_hit@10: 0.7229, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0019, AveLoss: nan, BestValMRR 0.6457, BestTestMRR: 0.6257, test_hit@1: 0.5718, test_hit@3: 0.6503, test_hit@10: 0.7293, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0020, AveLoss: nan, BestValMRR 0.6457, BestTestMRR: 0.6257, test_hit@1: 0.5718, test_hit@3: 0.6503, test_hit@10: 0.7293, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0021, AveLoss: nan, BestValMRR 0.6457, BestTestMRR: 0.6257, test_hit@1: 0.5718, test_hit@3: 0.6503, test_hit@10: 0.7293, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0022, AveLoss: nan, BestValMRR 0.6457, BestTestMRR: 0.6257, test_hit@1: 0.5718, test_hit@3: 0.6503, test_hit@10: 0.7293, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0023, AveLoss: nan, BestValMRR 0.6457, BestTestMRR: 0.6257, test_hit@1: 0.5718, test_hit@3: 0.6503, test_hit@10: 0.7293, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0024, AveLoss: nan, BestValMRR 0.6457, BestTestMRR: 0.6257, test_hit@1: 0.5718, test_hit@3: 0.6503, test_hit@10: 0.7293, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
