0	0	5962
0	1	6572
0	1	739
0	1	1815
0	1	5778
0	1	3667
0	1	2176
0	1	1009
0	1	1769
0	1	4328
0	1	6843
0	1	923
0	1	5115
0	1	7475
0	1	6395
0	1	4833
0	1	6881
0	1	5220
0	1	444
0	1	520
0	2	1318
1	1	7475
1	2	6009
2	1	1769
2	2	6488
3	0	3911
3	1	6572
3	1	1009
3	1	4328
3	1	6395
3	1	7838
3	1	6881
3	1	5220
3	1	7457
3	1	5115
3	1	7475
3	1	739
3	1	3163
3	1	2176
3	1	6843
3	1	923
3	1	5778
3	1	1815
3	1	3667
3	1	1769
3	1	444
3	1	520
3	2	2526
4	1	1769
4	2	5308
5	1	1769
5	2	3202
6	1	1769
6	2	6010
7	1	6572
7	2	2135
8	1	6572
8	2	4939
9	1	1769
9	2	7825
10	1	6572
10	2	1267
11	0	5481
11	1	6572
11	1	1009
11	1	4328
11	1	6395
11	1	7838
11	1	6881
11	1	5220
11	1	7457
11	1	5115
11	1	7475
11	1	739
11	1	3163
11	1	2176
11	1	923
11	1	5778
11	1	1815
11	1	3667
11	1	1769
11	1	444
11	1	520
11	2	4180
12	0	5481
12	1	3163
12	1	1815
12	1	3667
12	1	2176
12	1	1769
12	1	4328
12	1	5115
12	2	3120
13	0	5481
13	1	1815
13	1	3667
13	1	1769
13	1	5115
13	1	7475
13	1	5220
13	2	6569
14	0	375
14	1	3163
14	1	6572
14	1	1815
14	1	727
14	1	2176
14	1	1769
14	1	4328
14	1	923
14	1	5115
14	1	6395
14	1	739
14	1	520
14	2	3315
15	1	1769
15	2	6302
16	0	375
16	1	6572
16	1	1009
16	1	4328
16	1	4833
16	1	6395
16	1	6881
16	1	5220
16	1	727
16	1	7457
16	1	5115
16	1	739
16	1	3163
16	1	2176
16	1	6843
16	1	923
16	1	5778
16	1	1815
16	1	3667
16	1	1769
16	1	444
16	1	520
16	2	502
17	1	1769
17	2	4397
18	0	375
18	1	6572
18	1	739
18	1	1815
18	1	7457
18	1	3667
18	1	2176
18	1	1769
18	1	4328
18	1	444
18	1	923
18	1	5115
18	1	6395
18	1	7838
18	1	6881
18	1	5220
18	1	520
18	2	1275
19	1	1769
19	2	3182
20	1	1769
20	2	3089
21	1	3667
21	2	3879
22	0	514
22	1	6572
22	1	1815
22	1	5778
22	1	7457
22	1	3667
22	1	2176
22	1	1009
22	1	1769
22	1	4328
22	1	6843
22	1	923
22	1	5115
22	1	7475
22	1	6395
22	1	444
22	1	6881
22	1	5220
22	1	520
22	2	2194
23	1	6572
23	1	1815
23	1	1769
23	1	4328
23	1	444
23	1	5115
23	1	4833
23	1	739
23	2	7
24	0	3911
24	1	6572
24	1	739
24	1	1815
24	1	5778
24	1	3667
24	1	2176
24	1	1009
24	1	1769
24	1	4328
24	1	444
24	1	923
24	1	5115
24	1	5077
24	1	6395
24	1	7475
24	1	6881
24	1	5220
24	1	520
24	2	3556
25	1	1769
25	2	3700
26	0	1082
26	1	3163
26	1	6572
26	1	1815
26	1	5778
26	1	7457
26	1	3667
26	1	2176
26	1	1009
26	1	1769
26	1	4328
26	1	444
26	1	923
26	1	5115
26	1	7475
26	1	6395
26	1	7838
26	1	6881
26	1	5220
26	1	520
26	2	3833
27	0	1082
27	1	6572
27	1	1009
27	1	4328
27	1	4833
27	1	6395
27	1	7838
27	1	6881
27	1	5220
27	1	7457
27	1	5115
27	1	7475
27	1	739
27	1	3163
27	1	414
27	1	2176
27	1	6843
27	1	923
27	1	5778
27	1	1815
27	1	3667
27	1	1769
27	1	444
27	1	520
27	2	2618
28	0	1082
28	1	1815
28	1	3667
28	1	2176
28	1	1769
28	1	4328
28	1	923
28	1	5115
28	1	6395
28	1	520
28	2	930
29	0	1082
29	1	1815
29	1	3667
29	1	2176
29	1	1769
29	1	4328
29	1	444
29	1	923
29	1	5115
29	1	7475
29	1	6395
29	1	6881
29	1	5220
29	1	520
29	2	4909
30	1	1769
30	2	346
31	1	444
31	2	3952
32	1	3163
32	2	2110
33	1	1769
33	2	5328
34	1	1815
34	1	7457
34	1	3667
34	1	2176
34	1	1009
34	1	1769
34	1	4328
34	1	923
34	1	5115
34	1	7475
34	1	6395
34	1	6881
34	2	5567
35	1	1769
35	2	7274
36	1	6572
36	1	739
36	1	1815
36	1	3667
36	1	2176
36	1	1009
36	1	1769
36	1	4328
36	1	923
36	1	5115
36	1	7475
36	1	6395
36	1	6881
36	1	5220
36	1	520
36	2	2923
37	0	1791
37	1	6572
37	1	1815
37	1	3667
37	1	2176
37	1	1009
37	1	1769
37	1	4328
37	1	444
37	1	923
37	1	5115
37	1	7475
37	1	6881
37	1	5220
37	2	55
38	1	1769
38	2	6423
39	0	2231
39	1	1815
39	1	3667
39	1	2176
39	1	1769
39	1	4328
39	1	444
39	1	923
39	1	5115
39	1	7475
39	1	6395
39	1	6881
39	1	5220
39	1	520
39	2	7209
40	1	5778
40	2	3664
41	0	1052
41	1	3163
41	1	6572
41	1	1815
41	1	5778
41	1	3667
41	1	2176
41	1	1009
41	1	1769
41	1	4328
41	1	444
41	1	5115
41	1	7475
41	1	6395
41	1	6881
41	1	739
41	1	520
41	2	5880
42	0	1052
42	1	6572
42	1	1009
42	1	4328
42	1	4833
42	1	6395
42	1	6881
42	1	5220
42	1	7457
42	1	5115
42	1	7475
42	1	739
