0	0	845	1
1	1	99	1
2	2	266	1
3	3	28	1
4	4	688	1
5	1	61	1
6	5	390	1
7	6	294	1
8	1	106	1
9	7	50	1
10	8	3	1
11	9	3016	1
12	10	770	1
13	0	2208	1
14	11	33	1
15	4	518	1
16	9	257	1
17	0	1760	1
2	12	87	1
18	1	1360	1
19	13	191	1
20	0	2208	1
21	14	40	1
22	9	38	1
23	0	5856	1
9	15	29	1
24	0	168	1
25	1	974	1
26	12	63	1
9	16	29	1
27	5	5857	1
28	12	151	1
27	5	5858	1
29	17	705	1
30	18	136	1
30	18	5002	1
31	4	866	1
32	9	1823	1
33	11	14	1
34	1	168	1
9	19	50	1
35	4	68	1
36	10	61	1
0	0	40	1
37	20	56	1
38	21	82	1
39	22	113	1
40	1	633	1
3	16	10	1
41	15	29	1
10	12	3	1
42	9	5859	1
7	14	106	1
43	23	902	1
44	12	63	1
45	12	231	1
46	4	55	1
47	0	697	1
48	24	4	1
29	8	9	1
49	9	52	1
50	25	38	1
51	26	4	1
52	10	75	1
53	27	80	1
54	11	64	1
55	28	46	1
53	29	80	1
38	25	50	1
56	30	5860	1
57	9	63	1
58	18	67	1
59	0	168	1
6	5	4	1
60	1	212	1
61	21	38	1
62	12	63	1
63	0	5861	1
0	31	40	1
48	0	4	1
19	0	191	1
64	32	69	1
65	32	78	1
66	33	52	1
29	18	1566	1
67	0	1457	1
31	4	5862	1
56	34	37	1
0	35	40	1
28	3	3	1
68	36	55	1
69	32	64	1
70	1	2064	1
71	37	114	1
72	9	37	1
30	9	125	1
0	10	341	1
73	9	687	1
16	1	1836	1
7	38	106	1
74	12	87	1
75	10	52	1
76	0	648	1
77	9	122	1
78	32	65	1
12	33	106	1
50	26	38	1
1	1	2	1
79	39	82	1
80	30	1264	1
81	39	63	1
32	16	82	1
82	8	32	1
83	9	98	2
84	0	5863	2
38	1	195	2
85	9	2776	2
86	32	33	2
87	8	2	2
9	19	50	2
88	37	122	2
0	0	40	2
89	16	38	2
90	17	29	2
91	18	3623	2
55	1	25	2
92	35	25	2
93	25	38	2
94	9	113	2
95	0	177	2
96	18	114	2
97	12	43	2
54	40	63	2
98	21	114	2
99	16	87	2
100	12	110	2
38	26	93	2
101	35	1612	2
102	9	406	2
103	18	433	2
38	8	89	2
104	9	177	2
7	12	294	2
105	41	114	2
106	42	294	2
107	7	1420	2
38	21	99	2
7	43	1133	2
108	9	141	2
3	32	10	2
9	4	50	2
28	32	3	2
38	18	29	2
109	44	199	2
110	9	100	2
111	35	352	2
112	10	254	2
113	9	211	2
114	1	183	2
115	18	400	2
116	37	5864	2
117	4	3527	2
3	45	10	2
76	0	648	2
118	12	5034	2
119	40	2405	2
120	1	37	2
102	46	191	2
15	47	214	2
121	1	114	2
122	37	88	2
123	45	87	2
50	9	82	2
124	9	1785	2
19	13	749	2
105	9	98	2
125	45	38	2
126	9	390	2
114	4	98	2
127	9	98	2
128	9	95	2
129	32	142	2
87	8	99	2
10	45	3	2
130	17	1088	2
80	48	694	2
131	9	2988	2
132	33	114	2
65	32	78	2
133	0	5856	2
125	4	30	2
28	8	86	2
134	9	294	2
135	5	467	2
19	0	58	2
97	9	43	2
136	31	71	2
7	13	907	2
137	49	157	2
117	36	3529	2
138	4	160	2
139	2	98	2
140	39	184	2
28	12	3	2
141	4	1148	2
141	9	98	2
142	32	129	2
143	9	1654	2
72	50	37	2
144	0	114	2
145	1	89	2
101	51	212	2
146	17	16	2
147	9	29	2
148	37	80	2
149	52	114	2
150	0	1829	2
150	53	1829	2
4	1	1333	2
151	8	10	2
50	4	2439	2
74	27	87	2
7	6	294	2
98	9	486	2
106	54	294	2
152	54	34	2
119	1	2405	2
9	9	29	2
65	9	159	2
153	9	177	2
154	0	171	2
86	16	28	2
10	12	3	2
118	18	80	2
113	37	211	2
155	9	754	2
98	26	911	2
156	18	1498	2
141	17	1148	2
3	4	63	2
157	49	137	2
143	35	101	2
158	9	390	2
92	17	55	2
2	16	87	2
159	9	474	2
28	12	151	2
10	32	3	2
160	1	1774	2
161	9	98	2
38	25	93	2
162	9	671	2
163	4	518	2
87	45	123	2
48	24	4	2
9	9	5865	2
164	31	5866	2
10	12	259	2
165	9	5867	2
166	40	2073	2
14	9	38	2
34	1	168	2
167	18	191	2
148	9	2226	2
127	1	114	2
33	32	86	2
23	9	133	2
168	41	100	2
89	18	4937	2
10	16	151	2
38	45	125	2
169	35	286	2
170	39	4	2
9	7	50	2
4	4	646	2
171	33	2239	2
0	35	40	2
